"donor","clone","day","ter.Mean","ter.StDev"
"AMD1","1A","75",780,20.952326839757
"AMD1","1B","73",847,49.386232899463
"AMD1","1B","74",936,64.2105910267146
"AMD1","1B","75",871.333333333333,16.5025250593154
"AMD1","1B","76",975,60.5061980296234
"AMD1","1B","77",956.333333333333,41.1865673895426
"AMD2","2A","75",982,148.334082395112
"AMD2","2B","73",1029.66666666667,17.5023807904334
"AMD2","2B","74",1071.33333333333,76.7875858022202
"AMD2","2B","75",766,280.893218145259
"AMD2","2B","76",886.666666666667,40.4145188432738
"AMD2","2B","77",924.666666666667,112.811051468078
"AMD2","2C","75",1071.33333333333,213.902625821502
"AMD3","3A","75",824.666666666667,138.276293461075
"AMD3","3B","73",892.333333333333,70.7130351019763
"AMD3","3B","74",908.666666666667,28.7460142164672
"AMD3","3B","75",931.333333333333,54.5007645206316
"AMD3","3B","76",847.333333333333,47.0354476255232
"AMD3","3B","77",998,22.5166604983954
"AMD3","3C","75",893.666666666667,53.5941539100426
